#scalar perturbations for mode k = 1.000000000000e-01 Mpc^(-1)
#    1:tau [Mpc]              2:a                      3:delta_g                4:theta_g                5:shear_g                6:pol0_g                 7:pol1_g                 8:pol2_g                 9:delta_b               10:theta_b               11:psi                   12:phi                   13:delta_ur              14:theta_ur              15:shear_ur              16:delta_cdm             17:theta_cdm             18:delta_ncdm[0]         19:theta_ncdm[0]         20:shear_ncdm[0]         21:cs2_ncdm[0]           22:delta_ncdm[1]         23:theta_ncdm[1]         24:shear_ncdm[1]         25:cs2_ncdm[1]        
       1.432037556127e-01       3.092670404273e-07      -1.201829885459e+00       4.301208038900e-04       3.226335904583e-11       8.065839761458e-11       3.403257182031e-19       1.613167952292e-11      -9.013724140941e-01       4.301208038900e-04       6.010756601268e-01       6.995527988095e-01      -1.201829885459e+00       4.301168801812e-04       8.216139339331e-06      -9.013724140941e-01       4.301289584619e-04      -6.841387979378e-05      -1.209073796039e-08       8.224613249235e-06       3.333333330405e-01      -6.839181269841e-05      -1.209590994266e-08       8.215850107670e-06       3.328357971044e-01 
       1.432038675211e-01       3.092672821715e-07      -1.201829886224e+00       4.301211401478e-04       3.226343470685e-11       8.065858676713e-11       3.403270483481e-19       1.613171735343e-11      -9.013724146676e-01       4.301211401478e-04       6.010756600594e-01       6.995527986343e-01      -1.201829886224e+00       4.301172164297e-04       8.216152174936e-06      -9.013724146676e-01       4.301292947388e-04      -6.841398668992e-05      -1.209076630469e-08       8.224626098079e-06       3.333333330405e-01      -6.839191947949e-05      -1.209593824253e-08       8.215862923563e-06       3.328357963272e-01 
       1.432039794295e-01       3.092675239156e-07      -1.201829886988e+00       4.301214764055e-04       3.226351036799e-11       8.065877591997e-11       3.403283784974e-19       1.613175518399e-11      -9.013724152412e-01       4.301214764055e-04       6.010756599919e-01       6.995527984592e-01      -1.201829886988e+00       4.301175526783e-04       8.216165010550e-06      -9.013724152412e-01       4.301296310156e-04      -6.841409358615e-05      -1.209079464903e-08       8.224638946933e-06       3.333333330405e-01      -6.839202626065e-05      -1.209596654245e-08       8.215875739466e-06       3.328357955500e-01 
       1.432049636135e-01       3.092696499465e-07      -1.201829893722e+00       4.301244336434e-04       3.226417577887e-11       8.066043944716e-11       3.403400767409e-19       1.613208788943e-11      -9.013724202918e-01       4.301244336434e-04       6.010756593968e-01       6.995527969168e-01      -1.201829893722e+00       4.301205098353e-04       8.216277894402e-06      -9.013724202918e-01       4.301325884217e-04      -6.841503369365e-05      -1.209104392652e-08       8.224751947219e-06       3.333333330405e-01      -6.839296535620e-05      -1.209621542924e-08       8.215988449960e-06       3.328357887148e-01 
       1.432059477975e-01       3.092717759773e-07      -1.201829900461e+00       4.301273908829e-04       3.226484119901e-11       8.066210299752e-11       3.403517753074e-19       1.613242059950e-11      -9.013724253457e-01       4.301273908829e-04       6.010756588007e-01       6.995527953732e-01      -1.201829900461e+00       4.301234669939e-04       8.216390779020e-06      -9.013724253457e-01       4.301355458293e-04      -6.841597380755e-05      -1.209129320740e-08       8.224864948273e-06       3.333333330405e-01      -6.839390445810e-05      -1.209646431940e-08       8.216101161215e-06       3.328357818795e-01 
       1.432069319815e-01       3.092739020082e-07      -1.201829907200e+00       4.301303481228e-04       3.226550662833e-11       8.066376657083e-11       3.403634741960e-19       1.613275331417e-11      -9.013724304003e-01       4.301303481228e-04       6.010756582043e-01       6.995527938295e-01      -1.201829907200e+00       4.301264241529e-04       8.216503664412e-06      -9.013724304004e-01       4.301385032373e-04      -6.841691392787e-05      -1.209154249169e-08       8.224977950101e-06       3.333333330405e-01      -6.839484356642e-05      -1.209671321297e-08       8.216213873236e-06       3.328357750442e-01 
       1.432079161654e-01       3.092760280390e-07      -1.201829913940e+00       4.301333053627e-04       3.226617206680e-11       8.066543016701e-11       3.403751734062e-19       1.613308603340e-11      -9.013724354549e-01       4.301333053627e-04       6.010756576080e-01       6.995527922857e-01      -1.201829913940e+00       4.301293813118e-04       8.216616550580e-06      -9.013724354550e-01       4.301414606453e-04      -6.841785405465e-05      -1.209179177941e-08       8.225090952704e-06       3.333333330405e-01      -6.839578268115e-05      -1.209696210995e-08       8.216326586027e-06       3.328357682088e-01 
       1.432177580052e-01       3.092972883481e-07      -1.201829981315e+00       4.301628777550e-04       3.227282695435e-11       8.068206738588e-11       3.404921832004e-19       1.613641347718e-11      -9.013724859866e-01       4.301628777550e-04       6.010756516480e-01       6.995527768530e-01      -1.201829981315e+00       4.301589528950e-04       8.217745454947e-06      -9.013724859867e-01       4.301710347189e-04      -6.842725567750e-05      -1.209428484493e-08       8.226221021435e-06       3.333333330404e-01      -6.840517418216e-05      -1.209945126742e-08       8.217453756269e-06       3.328356998525e-01 
       1.432275998451e-01       3.093185486579e-07      -1.201830048662e+00       4.301924501380e-04       3.227948275634e-11       8.069870689085e-11       3.406092251676e-19       1.613974137817e-11      -9.013725364968e-01       4.301924501380e-04       6.010756456933e-01       6.995527614275e-01      -1.201830048662e+00       4.301885244686e-04       8.218874436920e-06      -9.013725364970e-01       4.302006087834e-04      -6.843665794584e-05      -1.209677825289e-08       8.227351167785e-06       3.333333330404e-01      -6.841456632604e-05      -1.210194076611e-08       8.218581003464e-06       3.328356314916e-01 
       1.432374416849e-01       3.093398089684e-07      -1.201830115979e+00       4.302220225110e-04       3.228613947278e-11       8.071534868196e-11       3.407262993140e-19       1.614306973639e-11      -9.013725869846e-01       4.302220225110e-04       6.010756397440e-01       6.995527460096e-01      -1.201830115979e+00       4.302180960322e-04       8.220003496500e-06      -9.013725869849e-01       4.302301828382e-04      -6.844606085971e-05      -1.209927200333e-08       8.228481391757e-06       3.333333330404e-01      -6.842395911279e-05      -1.210443060605e-08       8.219708327618e-06       3.328355631260e-01 
