# Matter power spectrum P(k) at redshift z=0
# for k=1.04535e-05 to 201.755 h/Mpc,
# number of wavenumbers equal to 728
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.045347100561e-05       5.255056590917e+01 
       2.334202566430e-05       1.137622641039e+02 
       3.627595181377e-05       1.738149300331e+02 
       4.929009045918e-05       2.333901345799e+02 
       6.241985949011e-05       2.928705730138e+02 
       7.570156986346e-05       3.525399456445e+02 
       8.917275190699e-05       4.126388777274e+02 
       1.028724960883e-04       4.733876954361e+02 
       1.168418126268e-04       5.349980746107e+02 
       1.311240143608e-04       5.976800179433e+02 
       1.457651272864e-04       6.616466656654e+02 
       1.608143331253e-04       7.271179982584e+02 
       1.763244480991e-04       7.943239709303e+02 
       1.923524417126e-04       8.635073516581e+02 
       2.089599986854e-04       9.349264214462e+02 
       2.262141260853e-04       1.008857644117e+03 
       2.441878060359e-04       1.085598311639e+03 
       2.629606918757e-04       1.165469225271e+03 
       2.826198420662e-04       1.248817362614e+03 
       3.032604811399e-04       1.336018501319e+03 
       3.249867701732e-04       1.427479715597e+03 
       3.479125602543e-04       1.523641618684e+03 
       3.721620908137e-04       1.624980183154e+03 
       3.978705802355e-04       1.732007906050e+03 
       4.251846389156e-04       1.845274003303e+03 
       4.542624153955e-04       1.965363281977e+03 
       4.852733657854e-04       2.092893228713e+03 
       5.183975179588e-04       2.228508799120e+03 
       5.538240891364e-04       2.372874412212e+03 
       5.917493143925e-04       2.526662637623e+03 
       6.323733617815e-04       2.690539150115e+03 
       6.758962551654e-04       2.865143937270e+03 
       7.225128048561e-04       3.051068772404e+03 
       7.724066605215e-04       3.248831931643e+03 
       8.257437435177e-04       3.458851173901e+03 
       8.826654683714e-04       3.681417157827e+03 
       9.432822953101e-04       3.916669438218e+03 
       1.007668230418e-03       4.164577611570e+03 
       1.075856873602e-03       4.424930382942e+03 
       1.147839490329e-03       4.697333683146e+03 
       1.223565361711e-03       4.981218940718e+03 
       1.302944389097e-03       5.275861104221e+03 
       1.385851652816e-03       5.580404542594e+03 
       1.472133409587e-03       5.893893199453e+03 
       1.561613899397e-03       6.215304605963e+03 
       1.654102330449e-03       6.543581170098e+03 
       1.749399501391e-03       6.877661253905e+03 
       1.847303666940e-03       7.216501442882e+03 
       1.947615416726e-03       7.559099240526e+03 
       2.050141485685e-03       7.904506611484e+03 
       2.154697529283e-03       8.251839930171e+03 
       2.261109972232e-03       8.600286561129e+03 
       2.369217078651e-03       8.949106778211e+03 
       2.478869402747e-03       9.297633029257e+03 
       2.589929771391e-03       9.645268276818e+03 
       2.702272931601e-03       9.991480837896e+03 
       2.815784973063e-03       1.033580142153e+04 
       2.930362612711e-03       1.067781742698e+04 
       3.045912407267e-03       1.101716767548e+04 
       3.162349941672e-03       1.135353734056e+04 
       3.279599026861e-03       1.168694660880e+04 
       3.397590929025e-03       1.201742070399e+04 
