# Matter power spectrum P(k) at redshift z=0
# for k=1.38303e-05 to 1.74414 h/Mpc,
# number of wavenumbers equal to 117
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.383028178279e-05       2.334559032360e+01 
       1.741129318863e-05       2.913054207791e+01 
       2.191951944736e-05       3.634896789248e+01 
       2.759504004660e-05       4.535604579767e+01 
       3.474009715415e-05       5.659497432536e+01 
       4.373519111555e-05       7.061869888158e+01 
       5.505934348504e-05       8.811711917889e+01 
       6.931560667003e-05       1.099509237522e+02 
       8.726317867083e-05       1.371937458108e+02 
       1.098578331426e-04       1.711846225690e+02 
       1.383028178279e-04       2.135931378990e+02 
       1.741129318863e-04       2.665001028744e+02 
       2.191951944736e-04       3.324970967971e+02 
       2.759504004660e-04       4.148084465656e+02 
       3.474009715415e-04       5.174393068429e+02 
       4.373519111555e-04       6.453528905345e+02 
       5.505934348504e-04       8.046784498280e+02 
       6.931560667003e-04       1.002949018152e+03 
       8.726317867083e-04       1.249363869661e+03 
       1.098578331426e-03       1.555062521822e+03 
       1.383028178279e-03       1.933373781247e+03 
       1.480165778567e-03       2.060981276989e+03 
       1.741129318863e-03       2.399954159855e+03 
       2.191951944736e-03       2.972684368524e+03 
       2.759504004660e-03       3.671156279099e+03 
       3.474009715415e-03       4.515506567284e+03 
       4.373519111555e-03       5.524406243318e+03 
       5.505934348504e-03       6.708790977618e+03 
       6.931560667003e-03       8.072725187510e+03 
       8.726317867083e-03       9.604714882750e+03 
       1.098578331426e-02       1.126354530533e+04 
       1.383028178279e-02       1.296524569941e+04 
       1.480165778567e-02       1.345619248402e+04 
       1.741129318863e-02       1.456902462086e+04 
       2.191951944640e-02       1.587092762693e+04 
       2.759503736545e-02       1.662387541168e+04 
       3.473902980059e-02       1.661468817447e+04 
       4.364812895940e-02       1.582895346455e+04 
       5.330322972486e-02       1.472139387464e+04 
       6.053898689107e-02       1.395305662758e+04 
       6.603179841119e-02       1.342980173852e+04 
       7.071935772879e-02       1.301164765464e+04 
       7.498204695074e-02       1.264022182786e+04 
       7.900098287822e-02       1.228670645256e+04 
       8.287685980195e-02       1.193523370410e+04 
       8.667223082980e-02       1.157687458391e+04 
       9.042930460268e-02       1.120723197940e+04 
       9.417847424105e-02       1.082527723788e+04 
       9.794282337779e-02       1.043262358724e+04 
       1.017406922424e-01       1.003294380349e+04 
       1.055872281484e-01       9.631427879432e+03 
       1.094953681585e-01       9.234134773698e+03 
       1.134764867084e-01       8.847337602658e+03 
       1.175408364210e-01       8.476822326427e+03 
       1.216978562627e-01       8.127192568275e+03 
       1.259563917192e-01       7.801258647462e+03 
       1.303248548903e-01       7.499660608342e+03 
       1.348113424800e-01       7.220582949756e+03 
       1.394237236051e-01       6.959856655013e+03 
       1.441697055495e-01       6.711320476801e+03 
       1.480165778567e-01       6.518838894500e+03 
       1.490568831529e-01       6.467573361855e+03 
       1.540927759401e-01       6.221072555034e+03 
       1.592848560442e-01       5.965488561556e+03 
       1.646405692793e-01       5.697032271273e+03 
       1.701673512552e-01       5.415469648350e+03 
       1.758726401173e-01       5.124422671644e+03 
       1.817638872938e-01       4.830727520973e+03 
       1.878485675004e-01       4.543017590326e+03 
       1.941341891738e-01       4.269664686529e+03 
       2.006283064498e-01       4.016695486190e+03 
       2.073385337732e-01       3.786094142840e+03 
       2.142725642045e-01       3.575201857463e+03 
       2.214381924728e-01       3.377487291693e+03 
       2.288433438194e-01       3.184787111923e+03 
       2.364961096701e-01       2.989870380157e+03 
       2.444047911832e-01       2.788395817740e+03 
       2.525779517451e-01       2.581995279650e+03 
       2.610244795322e-01       2.377231579394e+03 
       2.697536613454e-01       2.182215294245e+03 
       2.787752690636e-01       2.002678111382e+03 
       2.880996602672e-01       1.839947371492e+03 
       2.977378948851e-01       1.690885693553e+03 
       3.077018701331e-01       1.549561060296e+03 
       3.180044765857e-01       1.410651541207e+03 
       3.286597789787e-01       1.272724176463e+03 
       3.396832263632e-01       1.138556483214e+03 
       3.510918975662e-01       1.012861936912e+03 
       3.629047896914e-01       8.989822735133e+02 
       3.751431597474e-01       7.963667570574e+02 
       3.878309326328e-01       7.016825987424e+02 
       4.009951929445e-01       6.120752750883e+02 
       4.146667838403e-01       5.272438495456e+02 
       4.288810441363e-01       4.492323731363e+02 
       4.436787259268e-01       3.797067379110e+02 
       4.591071507731e-01       3.183054697526e+02 
       4.752216852245e-01       2.633043450437e+02 
       4.920876497732e-01       2.137497656456e+02 
       5.097828251955e-01       1.700961248412e+02 
       5.284007963723e-01       1.328197295014e+02 
       5.480554926360e-01       1.013777228438e+02 
       5.688874743370e-01       7.496080745668e+01 
       5.910728295552e-01       5.324859002768e+01 
       6.148360794019e-01       3.612007152156e+01 
       6.404694323334e-01       2.305956024914e+01 
       6.683624556248e-01       1.347415299083e+01 
       6.990495482009e-01       6.956080274432e+00 
       7.332893005296e-01       2.940758294786e+00 
       7.722041870181e-01       8.444648162383e-01 
       8.175418867297e-01       7.703368711449e-02 
       8.722001064124e-01       3.165943206788e-02 
       9.413671355953e-01       1.623883039312e-01 
       1.035183003174e+00       1.251918954179e-01 
       1.174863289981e+00       3.898125884583e-03 
       1.400489341753e+00       1.866639460412e-02 
       1.480165778567e+00       1.282573906878e-02 
       1.744142719142e+00       1.519183770841e-05 
